"activity_reference_key","activity_search_autocomplete","override_industry_guidance_label","activity_key","4 - WIDESPREAD","3 - SUBSTANTIAL","2 - MODERATE","1 - MINIMAL","RSHO","last_modified","primary_guidance","secondary_guidance"
"grocery-stores","Grocery stores","","grocery-stores","Can open with modifications  - Max 50% capacity","Can open with modifications  - Max 50% capacity","Can open with modifications","Can open with modifications","Can open with modifications  - Max 35% capacity - No food or beverages sold for onsite consumption","2021-01-15T09:40:00.000Z","retail",""
"gyms-fitness-centers","Gyms and fitness centers","","gyms-fitness-centers","Can open outdoors only with modifications","Can open indoors with modifications - Max 10% capacity - +Climbing walls","Can open indoors with modifications - Max 25% capacity - +Indoor pools","Can open indoors with modifications  - +Saunas - +Spas - +Steam rooms - Max 50% capacity","Can open outdoors only with modifications","2021-01-15T09:40:00.000Z","fitness",""
"hair-salons","Hair salons and barbershops","","hair-salons","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Closed","2021-01-15T09:40:00.000Z","hair-salons",""
"handy-persons-general-contractors","Handypersons/general contractors","","handy-persons-general-contractors","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-01-15T09:40:00.000Z","limited-services",""
"higher-education","Higher education institutions","","higher-education","Closed for indoor lectures and student gatherings. Some courses conducted in certain indoor settings, like labs and studio arts, may be open.","Capacity for indoor lectures and student gatherings must be limited to 25% or 100 people, whichever is less. Some courses conducted in certain indoor settings, like labs and studio arts, may be open at regular capacity. Conduct student activities virtually when possible.","Capacity for indoor lectures and student gatherings must be limited to 50% or 200 people, whichever is less. Some courses conducted in certain indoor settings, like labs and studio arts, may be open at regular capacity. Conduct student activities virtually when possible.","Capacity for indoor lectures and student gatherings must be limited to 50%. Some courses conducted in certain indoor settings, like labs and studio arts, may be open at regular capacity. Conduct student activities virtually when possible."," ","2021-01-15T09:40:00.000Z","higher-education",""
"home-furnishings","Home and furnishing stores","","home-furnishings","Can open with modifications  - Max 25% capacity","Can open with modifications  - Max 50% capacity","Can open with modifications","Can open with modifications","Can open with modifications  - Max 20% capacity - No food or beverages sold for onsite consumption","2021-01-15T09:40:00.000Z","retail",""
"hospitals-urgent-care","Hospitals and urgent cares","Critical infrastructure","hospitals-urgent-care","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-01-15T09:40:00.000Z","critical-infrastructure",""
"hotels-lodging-rentals","Hotels, lodging, and short-term lodging rentals","","hotels-lodging-rentals","","","","","","2021-01-15T19:44:00.000Z","hotels-lodging-rentals",""
"hvac-services","HVAC services","","hvac-services","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-01-15T09:40:00.000Z","limited-services",""
"indoor-playgrounds","Indoor playgrounds (bounce centers/ball pits/laser tag)","","indoor-playgrounds","Closed","Closed","Can open indoors for naturally distanced activities, with modifications - Max 25% capacity - Bowling alleys - Climbing walls","Can open indoors for activities with increased risk of proximity and mixing, with modifications - Max 50% capacity - Arcade games - Ice and roller skating","Closed","2021-01-15T09:40:00.000Z","family-entertainment",""
"jewelry-stores","Jewelry stores","","jewelry-stores","Can open with modifications  - Max 25% capacity","Can open with modifications  - Max 50% capacity","Can open with modifications","Can open with modifications","Can open with modifications  - Max 20% capacity - No food or beverages sold for onsite consumption","2021-01-15T09:40:00.000Z","retail",""
"landscapers","Landscapers","","landscapers","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Closed unless for erosion control and fire debris management","2021-01-15T19:44:00.000Z","limited-services",""
"laundromats-laundry-services","Laundromats and laundry services","","laundromats-laundry-services","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-01-15T09:40:00.000Z","limited-services",""
"libraries","Libraries","","libraries","Can open with modifications  - Max 25% capacity","Can open with modifications  - Max 50% capacity","Can open with modifications","Can open with modifications","Can open with modifications  - Max 20% capacity - No food or beverages sold for onsite consumption","2021-01-15T09:40:00.000Z","retail, libraries",""
"life-sciences","Life sciences","","life-sciences","","","","","","2021-01-15T09:40:00.000Z","life-sciences",""
"limited-services","Residential and janitorial cleaning services","Residential and janitorial cleaning services","limited-services","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-01-15T09:40:00.000Z","limited-services",""
"live-theater","Live theater","","live-theater","Closed","Closed","Closed","Closed","Closed","2021-01-15T09:40:00.000Z","live-performances",""
"logistics-warehousing","Logistics and warehousing facilities","","logistics-warehousing","","","","","","2021-01-15T09:40:00.000Z","logistics-warehousing",""
"manufacturing","Manufacturing","","manufacturing","","","","","","2021-01-15T09:40:00.000Z","manufacturing",""
"massage-therapy","Massage therapy studios","Personal care services","massage-therapy","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Closed","2021-01-15T09:40:00.000Z","expanded-personal-care-services",""
"mining-logging","Mining and logging","","mining-logging","","","","","","2021-01-15T09:40:00.000Z","mining-logging",""
"mosques","Mosques","","mosques","Can open outdoors only with modifications","Can open indoors with modifications  - Max 25% capacity or 100 people, whichever is fewer","Can open indoors with modifications  - Max 50% capacity or 200 people, whichever is fewer ","Can open indoors with modifications  - Max 50% capacity","Can open outdoors only with modifications","2021-01-15T09:40:00.000Z","places-of-worship",""
